id,order,title,subtitle,description,id_domain,id_grade,duration,caption,list of units ids,image file name
29,10,Science Grade 1,,"<p>The grade 1 student is immersed in a yearlong investigation of regular patterns&nbsp;and cycles&nbsp;in the world, and&nbsp;in Science&nbsp;they explore these patterns and cycles through&nbsp;a series of nature studies. They learn that identifying patterns (e.g., tree rings, animal markings) is a way of organizing the world around them﻿,&nbsp;and they learn to recognize the ritualistic patterns that characterize a culture&rsquo;s celebrations and values. Students discover that patterns can be dynamic and organize themselves&nbsp;through time&nbsp;into cycles.&nbsp;As students study a variety of patterns and cycles in nature, they begin to recognize various phases and the transformations in specific cycles, such as the monarch butterfly and the water cycle. As part of their investigations, students discover that tools and instruments are extensions of their bodies and minds that help them create, describe, and share their world.&nbsp;They end the year with an exploration of recycling and learn the importance of using nature&rsquo;s patterns and cycles to sustain the natural world.</p>
",4,2,,,277|278|279,
78,11,Mathematics Grade 1,,"<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}"">As grade 1 students study patterns in Cultural History and Science, they also explore repeating and growing patterns in numbers and shapes through a wide array of mathematical experiences. After reading, writing, and counting numerals 0&ndash;100 by 1s, 2s, 5s, and 10s, they also discover the patterns of odd and even numbers and place value for 1s and 10s. They further organize their mathematical world as they extend patterns to addition and subtraction, including identifying and replacing variables in number sentences up to 10 and solve real-world environmentally conscious problems. Applying the definition of fractions as parts of a whole, students are able to identify coin values as well as tell time to the nearest half hour.</p>

<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}"">Through the year, students&rsquo; knowledge of measurement expands to include estimating and measuring length and weight using inches, centimeters, and pounds. They use&nbsp;Fahrenheit and Celsius thermometers to measure temperature and&nbsp;inequalities to compare measurements.&nbsp;In conjunction with their study of patterns in cycles in Cultural History, students study picture and standard graphs, collect and interpret data, and make predictions based on repeated events and patterns, specifically as they relate to the calendar. Being able to describe, model, draw, compare, and classify common two-dimensional and three-dimensional shap",3,2,,,228|229|230|231|232|233,
106,12,Media Studies and Technology Grade 1,Patterns and Cycles,"<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}"">Grade 1 students explore the power of screens in storytelling as they engage in a study of television and screens. Students are instilled with a critical understanding of television programing&rsquo;s place in world culture and a mindful awareness of their use of various types of screens in daily life.</p>

<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}"">Then students continue their study of representation by examining the work of artists such as Georges Seurat, Paul Signac, Nam June Paik, and Gunther Uecker and relate these artists&rsquo; work to the technology used to make cathode-ray tube, liquid-crystal-display, and plasma televisions. Students separate the content represented on screens, the form of screens, the technology behind them, and the producers of both the medium and the message. Next they study silent films, from Kabuki, Charlie Chaplin, and Buster Keaton, to understand how these art forms relied on nonverbal communication. The course culminates when students use their knowledge from the unit to create a projection performance piece that is screened for visitors at the end of the year.</p>
",5,2,,,383,
64,13,Visual Arts Grade 1,,"<p>In grade 1, students explore predictable patterns and cycles in the natural world through reading, researching, observation, and the visual arts. Students learn that tools, such as paintbrushes, pens, pastels, and other art media, are extensions of their bodies and minds that help them to create, describe, and share their world. Through a variety of activities, such as weaving, printmaking, and painting, students investigate a variety of patterns and cycles: linear, circular, branching, spirals, and symmetry. They use their studies of patterns and cycles to express environmental benefits of reducing, reusing, and recycling behaviors. As part of their investigations, they are introduced to art masters such as Piet Mondrian and study a variety of his work and identify his expressive use of patterns. Thematic student involvement in the art studio is closely integrated with classroom studies, and students realize how humans use patterns and cycles from nature to express thoughts and ideas.</p>
",7,2,,,352|353|354,
101,14,Performing Arts: Music / Theater Grade 1,,"<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}"">In Performing Arts: Music,&nbsp;students complement their study of patterns and cycles in other domains by exploring musical patterns, particularly&nbsp;ritualistic patterns animated by dance and song that characterize a culture&rsquo;s celebrations and values. Students hear examples of traditional rhythms from a variety of world cultures, connecting this course with their learning in Cultural History. In their studies, students learn about different rhythmic and melodic patterns in music, are introduced to the basics of musical notation, and gain hands-on experience by making their own musical instruments and compositions.</p>

<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}""><br move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}"" />
In Theater, continuing their grade 1 investigation of patterns and cycles, students explore patterns, rhythms, and cycles through the use of rhythmic movements and sounds in telling dramatic stories. Students find ways to express the six basic patterns found in nature and connect this with their learning in Performing Arts: Music and World Languages and Literature: English by exploring the patterns in rhythmic sound, poetry, and song, while also learning to portray a character.</p>
",6,2,,,459|460,
88,15,Wellness Grade 1,Patterns and Cycles,"<p>Students practice wellness and develop a greater understanding of movement patterns and cycles through movement in a variety of fitness activities. They perform fundamental locomotor (running, hopping, skipping, jumping, leading, sliding, galloping) and non-locomotor (bending, twisting, turning, rocking, swaying, balancing, stretching, pushing, and pulling) skills. Students begin to manipulate objects with purposeful movement as they practice using tools as an extension of themselves (throwing, catching, striking, kicking, bouncing, and rolling). Students develop understanding of patterns and rhythm through square and pattern dancing, which also develops social skills and fosters teamwork and communication. Unit goals include development of social skills, fitness, movement qualities, and manipulative skills, as well as nutritional studies on sustainable nutrition and environmental responsibilities. Integrating Wellness studies with other domains, students explore patterns of movement, the early use of tools, understanding patterns in nature, and environmental stewardship. Time is reserved between the three major units for population and culturally specific movement skills, games, rituals, dances, sport development, or testing. In addition, time is reserved for developing life and health skills of a non-nutritional study. Topics appropriate for the grade level include, but are not limited to, hygiene and disease prevention; safety; communication and relationships; self-esteem activities; and mental, emotional, and social health.&nbsp;</p>
",8,2,,,262|263|264,
1,16,Cultural History Grade 2,Systems,"<p>Students spend the year exploring classroom and community systems and the individual&rsquo;s role within larger systems, such as the family, the grade 2 classroom, and the local community, and comparing these human systems with systems in nature. As the year progresses, students begin to see that the world is one large, interconnected system that may break down because of conflict or disorder. In order to seek stability, orderliness, and serious learning, students become problem solvers who are driven by curiosity about the world around them and what makes that world operate. At this stage in their development, students begin to understand the concepts of time, space, and quantity, but they still need to make the direct link to the natural environment. In Cultural History class, students investigate the Solar System, Earth&rsquo;s systems, weather systems, and ecosystems, discovering the fragility, strengths, and interdependence of each system. Through a variety of learning experiences, students weave grade-level themes into a story that started with the kindergarten study of beginnings and elemental forces, continued through patterns and cycles in grade 1, and connects to systems in grade 2.</p>
",1,3,,,156|157|158|159,
20,17,English Grade 2,Systems,"<p>Complementing their study of systems in both Cultural History and Science, students explore the solar system, Earth systems, weather systems, and ecosystems through fiction and nonfiction texts. While learning to apply strategies for reading comprehension, such as making text-to-text, text-to-self, and text-to-world comparisons, students continue with all the components of Reader&rsquo;s Workshop,&nbsp;summarizing&nbsp;main ideas in their reading and identifying other literary elements as they explore these systems and what can cause them to break down. Students also continue to practice strategies for decoding words when new vocabulary, including technical terms related to the systems, enters the texts.&nbsp;As they research and discover the complex systems of the world and universe, students apply their learning to write paragraphs, myths, and books as well as create illustrations, videos, and performances. They continue to improve their writing, through revision and editing techniques in order to make their writing pieces longer and more complex. As students write, they begin to incorporate language and ideas from books they read independently or during read-aloud time and revise their work,&nbsp;employing proper punctuation and spelling in the editing process.</p>
",10,3,,,165|166|167|168,
18,18,Science Grade 2,Systems,"<p>In grade 2, students learn that they are part of an interconnected world and Universe made up of a variety of systems. The year begins with the study of the Solar System, and students evaluate data about the Solar System and examine Earth&rsquo;s role in it. Next, students explore Earth&rsquo;s geological systems and the part that these systems play in the history and structure of Earth and its surface topography over hundreds of millions of years. By exploring local saltwater and terrestrial environments, students learn about ecosystems&mdash;their living and nonliving components, the roles of producers and consumers, food webs, etc.&mdash;and discuss what can happen when the delicate balance of an ecosystem is upset. Through their explorations, students recognize the harmful physical outcomes that can result when Earth&rsquo;s systems are in jeopardy, and they examine what it takes to sustain life systems in a rapidly changing world.</p>
",4,3,,,178|179|180|181,
73,19,Mathematics Grade 2,,"<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}"">Through their studies of the interconnected world of complex systems in grade 2, students expand their understanding of time, place, and quantity. After learning to read, write, and count numbers 0&ndash;999 using both expanded notation and place value, they learn to add and subtract two- and three-digit numbers as well as demonstrate the ability to use the commutative and associative properties when solving problems involving weather-related data that they collected in Cultural History. They further discuss temperature, including specific measures, such as melting point, and relative measures, such as warm and cool. They explore patterns using number lines, charts, and graphs and identify and replace variables in number sentences. After demonstrating competency with addition and subtraction facts, they describe multiplication as repeated addition. Students also expand their knowledge of monetary notation and measurement and learn to tell time to the nearest five minutes.</p>

<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}"">Using math manipulatives and technology, students explore the concept of change, perform experiments, and record outcomes as they relate to ecosystems. They also describe the Solar System using quantitative measures that stem from human-made systems such as place value and the metric system. They use the language of fractions and the language of probability and highlight the interrelation as t",3,3,,,169|170|171|172,
75,20,Media Studies and Technology Grade 2,,"<p>Grade 2 students continue to examine the central question, &ldquo;What is Media?&rdquo; as they study the evolution of media technology. To begin, students collect data about what media they have in their homes and how it is used. Next, students visualize the stages of a selected type of technology innovation and development, usage, and disposal. Then they explore the power of communicating messages via media and the importance of &ldquo;media literacy&rdquo; as they mindfully and critically analyze the validity of advertisements.</p>

<p>Students in grade 2 also learn to use Scratch animation software and animate species from their studies of estuaries. To accompany the animation, they create an estuary soundscape. Using their estuary animations and soundscape, the class creates a multimedia installations of an estuary habitat for others to visit that incorporates animated estuary plants and animals, backdrops illustrating the non-living parts of the habitat, the immersive soundscape, and puppets of any disruptive external factors.&nbsp;</p>
",5,3,,,174,
22,21,Visual Arts Grade 2,,"<p>In grade 2 Visual Arts class, students begin the year by creating observational self-portraits that reflect their individuality. Using oil pastels, they create a peer portrait of a classmate to reflect on their physical similarities and differences. As students move into the next unit of study, they explore mixing colors, using primary colors, and creating color systems that convey mood and expression. The illustrations of Eric Carle are studied, as students play with color and texture, while making large planets for their Solar Systems unit. The artwork of several mentor artists is explored, such as Pablo Picasso, Josef Albers, and Eliot Porter, and students end the year with a long study of the many natural sculptures of Andy Goldsworthy as they investigate local ecosystems. The year ends with a collage mural of a temperate deciduous forest with overlapping textured shapes using warm and cool colors and other skills learned throughout the year.</p>
",7,3,,,187|188|189,
102,22,Performing Arts: Music / Theater Grade 2,,"<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}"">In this Performing Arts: Music course, as in the other courses in grade 2, students explore systems as a collection of components that interconnect and interact with one another. As in Cultural History, they develop an understanding of the role of the individual in complex social and cultural systems, in this case, in the harmonious contributions of individual instruments and voices to music. Students deepen their understanding of systems by looking at musical notation as a system, which connects to their study of mathematical notation. Like in World Languages: English, students continue to make connections between themselves and their world as they explore music. They see the interconnectedness of the parts, and complementing their Science studies, they identify music as a complex system. Working in musical ensembles, students continue to explore their individual role as a member of a system, which reinforces what they are discovering in Cultural History. Acting as problem solvers, students collaborate to make music together through computer software, vocal pieces, and body percussion.</p>

<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}"">In second grade, students investigate the dynamics of systems as they pertain to the world around them. Thus, in Performing Arts: Theater, students apply their understanding of systems as they explore movement, dance, improvisation, and choreography. Students use their mind and voice, along with their bodies, while working with peers to design and then give creative and confident performances that connect to the thematic units from Science and Cultural History. Specific performances are created using music and dance to show the interdependence of the components of the Solar System, the systems that formed the layers of Earth, and the systems that led to the genesis of Earth. This study also connects to their work in World Languages and Literatures: English, as students explore characters and their feelings, through movement and words, and record their personal reflections using drawings and writing in their sketchbooks.&nbsp;Most importantly, students learn about the specific systems that are necessary as they work together to deliver a cohesive, informative, and entertaining performance.</p>
",6,3,,,350|351,
76,23,Wellness Grade 2,,"<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}"">Following the Systems theme, students practice movement in relationship to each other in a defined space and work cooperatively as a group. Students perform a variety of fundamental locomotor (running, hopping, skipping, jumping, leaping, sliding, galloping) and non-locomotor (bending, twisting, turning, rocking, swaying, balancing, stretching, pushing, and pulling) skills. They manipulate objects with a partner (throwing, catching, striking, kicking, bouncing, and rolling) and participate in fitness development exercises. Through the three major integrated units, students learn about systems and how to function as a system. They expand their systems understanding as they reinforce their learning of the Solar System.&nbsp;Movement skills develop&nbsp;as students learn the human body systems and begin to develop skills that sports teams need to function as a system. In addition, through the integrated units, students explore the sports team as a system and reinforce the pattern theme of first grade.</p>

<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}""><span style=""line-height: 1.42857;"">Units include development of social skills, teamwork, safety, fitness, movement education, and manipulative skills, as well as nutritional studies and disease prevention. Lessons also introduce students to the systems of the human body. Time is reserved between these three major integrated units to conduct population and culturally",8,3,,,265|266|267,
36,24,Cultural History Grade 3,Evolution of Life on Earth,"<p>In grade 3, students begin their formal study of the history of human culture from the beginning of organisms through 10,000 BCE, a study that will carry them through the rest of their school experience. They approach history through an understanding of themselves situated in time and the unfolding of the world before and after the present day and begin with a unit about the evolution of life on Earth. From bacteria to dinosaurs to&nbsp;Homo sapiens, students learn that life has changed and evolved over millions of years and continues to change. They learn that biology and geology are coevolving systems and as the physical Earth transformed so did the organisms living on land and in the seas. They study fossil evidence and the discoveries of many famous naturalists, archaeologists, and anthropologists, such as Charles Darwin, Mary, Meave, and Richard Leakey, and Mary Anning, and end the year exploring early Stone Age dwellings. Through this yearlong investigation of the evolution of human consciousness, students realize that they are empowered to participate in and affect history. They begin to understand that knowledge of the past helps people know what to do in the present.</p>
",1,4,,,301|302|303|348,
77,25,English Grade 3,,"<p>As they read both for pleasure and to gather information about the world around them, the grade 3 students explore&nbsp;a variety of&nbsp;literature&nbsp;containing increasingly challenging text.&nbsp;They investigate themes related to their Cultural History and Science studies&nbsp;of geological time and the evolution of life on Earth and, at the same time, expand their vocabulary and develop a rapidly growing list of sight words. Connecting these literacy components in a cohesive way, students utilize both fiction and nonfiction genres to explore new topics related to the evolving planet&nbsp;and the evolution of human consciousness. They&nbsp;develop&nbsp;fact-based questions and answers by analyzing data from their concurrent Cultural History explorations and apply critical reading skills and reasoning to help them evaluate information, leading to predictions regarding the natural world&rsquo;s impact on human survival. Distinguishing between opinion and fact, students&nbsp;practice supporting their ideas and viewpoints with details and examples. They also learn to choose genres of writing  that best suit what they want to communicate and to select details that establish mood and keep readers interested. Students use various literacy tools to&nbsp;explore the origins of art, symbolic signs, and spiritual beliefs and develop an advance awareness of themselves&nbsp;as readers, writers, and learners.</p>
",10,4,,,224|225|226|227,
30,26,Science Grade 3,,"<p>Students analyze geological history, focusing on geological time and using fossil evidence to understand ancient life. They examine and describe the properties and formation of metamorphic, igneous, and sedimentary rocks, and how they are used as indicators of age. Hands-on experiments introduce the basics of rock, soil, and fossil formation. Students study the evolution of life on Earth from bacteria to mammals, and the connection to human evolution. They also discover the role that adaptations play in animal and plant survival over successive generations. Finally, students consider how cycles in natural systems affected the behavior of early human dwellers, and how adaptations led to their survival and reproduction.</p>
",4,4,,,274|275|276,
79,27,Mathematics Grade 3,,"<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}"">In the context of evolutionary events in Earth&rsquo;s history, grade 3 students read, write, count, compare, and work with numbers up to 100,000, incorporating expanded notation and place value. They represent and analyze patterns and functions using tables and solve subtraction sentences using variables. Demonstrating competency with multiplication and division facts, students multiply three-digit numbers by single-digit numbers. After studying the zero, identity, commutative, and associative properties of multiplication, students apply computation and estimation to real-world problems such as establishing a multiplicative comparison between modern and prehistoric mammals. They use human dental records to compose and decompose division facts and explore fractions, including the relationship between fractions and decimals. While using metric measures such as kilograms and grams, students explore patterns with 0. To practice measuring length, including the use of fractions and mixed numbers, they measure and compare their body lengths to early hominids. Students use their understanding of multiplication and division to make scale drawings. They also include other measures such as the surface area and volume of the brain. Estimating and measuring the sizes of various objects, including perimeter and area, students use standard tools to analyze archaeological dig sites.</p>

<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purp",3,4,,,234|235|236|237,
