id,order,le_type,as_type,title,description,date start,date finish,list of domain ids,image file name,video_url,caption
1451,,LE,,"<p>The English Reformation</p>
","<p>Students discuss King Henry VIII and the importance of the Protestant belief in terrestrial authority as papal influence is rejected.</p>
",,,10|7,,,
1452,,LE,,"<p>More&rsquo;s Utopia</p>
","<p>Students read and discuss elements of More&rsquo;s imaginary paradise as they address the problems faced by England at the time.</p>
",,,10,,,
1453,,AS,SU,"<p>Elements of Utopia Quiz</p>
","<p>Students use notes from their reading of More&rsquo;s work to complete a short quiz on aspects of the fictional island.</p>
",,,10,,,
1454,,LE,,"<p>The Counter-Reformation</p>
","<p>Students research the Council of Trent, the formation of the Jesuit order, the spiritualist St. Teresa of Avila, and Baroque art. They also compare Catholic and Protestant martyrs from&nbsp;<em>Foxe&rsquo;s Book of Martyrs</em>.</p>
",,,10|7,,,
1455,,LE,,"<p>The French Wars of Religion, Mary Tudor, and the Thirty Years&rsquo; War</p>
","<p>Students explore the shift from ecclesiastical structures to sovereignty based on state governments during the rise and reign of Catherine de&rsquo; Medici.</p>
",,,10,,,
1456,,AS,SU,"<p>Reformation and Counter-Reformation Essays</p>
","<p>Students write two short essays in which they role-play as a Protestant and a Catholic, writing to each other about a contested issue. This assessment is designed to have students understand the intellectual history behind both points of view and to identify the arguments of both parties.</p>
",,,10,,,
1457,,AS,SU,"<p>Counter-Reformation Final Quiz</p>
","<p>Students complete a quiz on the unit as a whole, with a focus on the Thirty Years&rsquo; War.</p>
",,,10,,,
1458,,LE,,"<p>The Gunpowder Plot in&nbsp;<em>Macbeth</em></p>
","<p>Students discuss the Scottish play as a propaganda piece for James I, asserting the bad things that happen when one tries to kill a king. The creation of this play coincides with the unsuccessful G unpowder P lot by Guy Fawkes and other Catholics against the Protestant king. Students examine how Shakespeare addresses this event through language and references in his play.</p>
",,,10,,,
1459,,AS,SU,"<p>History of a Renaissance Collective Research Essay</p>
","<p>Students research the evolution of a group within the time period, using the group as a lens to view a larger cultural shift, such as the rise of nation-states.</p>
",,,10|4|3|7,,,
1460,,LE,,"<p>Setting the Stage for the Scientific Revolution: Pythagoras to Augustine</p>
","<p>Student&#39;s discover how humans intellectually arrive at the concept of a universal design by studying Pythagoras&rsquo;s music of the spheres and how St. Augustine&rsquo;s concept of original sin connected more with the idealism of Plato than the natural philosophy of Aristotle.</p>
",,,10|4|3,,,
1461,,LE,,"<p>Koestler&rsquo;s&nbsp;<em>The Sleepwalkers: The Reconquest</em></p>
","<p>Students read and discuss how Thomas Aquinas revived concepts of Aristotle in the Christian world.</p>
",,,4,,,
1462,,LE,,"<p>Koestler&rsquo;s&nbsp;<em>The Sleepwalkers</em>: Copernicus to Galileo</p>
","<p>Students read and discuss the personalities of Copernicus, Kepler, Tycho Brahe, and Galileo and the advancements they made as the world moved from a geocentric to heliocentric worldview.</p>
",,,4,,,
1463,,AS,FO,"<p>Introduction to the Scientific Revolution Quiz</p>
","<p>Students display their knowledge after having read Koestler and through classroom discussion on a short-answer and essay quiz.</p>
",,,4,,,
1464,,AS,SU,"<p>A Modern Scientist Essay</p>
","<p>Each student is assigned a scientist from the time period to research, presenting the scientist&rsquo;s contributions in essay form. The information garnered by students from their research will be used in conjunction with the First Modern Scientist Debate.</p>
",,,,,,
1465,,AS,SU,"<p>First Modern Scientist Debate</p>
","<p>Students debate on which one of eight individuals was the first modern scientist. Using various forms of rhetoric, the students define what it means to be a modern scientist, what it means to be first, and why their chosen individual best meets those criteria.</p>
",,,,,,
1466,,LE,,"<p>Vermeer in Context: The &ldquo;New World,&rdquo; the &ldquo;Old World,&rdquo; and the Corporation</p>
","<p>Students study several of Vermeer&rsquo;s paintings in context in order to understand the effect of trade and movement on culture.</p>
",,,4|7,,,
1467,,LE,,"<p>Commercial Themes</p>
","<p>Students examine the various reasons why people settled or worked in the English colonies.</p>
",,,3,,,
1468,,LE,,"<p><em>Tartuffe&nbsp;and&nbsp;Rex ex Machina</em></p>
","<p>In connection with the ending of&nbsp;<em>Tartuffe</em>, students discuss how the king (and not the gods, as in earlier dramas) saves the day.</p>
",,,10,,,
1469,,AS,FO,"<p>The Economics of Early North America Jigsaw Project</p>
","<p>Students work in collaborative groups to uncover particular commodities in the North American economic landscape.</p>
",,,3,,,
1470,,AS,SU,"<p>The Six Paintings Project</p>
","<p>Students demonstrate their understanding of one or more of the Cultural History Enduring Understandings through the analysis of six paintings that they select and research.</p>
",,,10|7,,,
1471,,LE,,"<p>Start with a Bang</p>
","<p>At the outset of the unit, students discuss the question&nbsp;<em>How did the Universe come to be?</em>&nbsp;They discuss the concept of a theory and write and illustrate their own explanations of how the Universe began.</p>
",,,10|4|7,,,
1472,,AS,FO,"<p>Cultural History Journals</p>
","<p>Throughout the unit, students record information in their Cultural History journals, which are softcover notebooks with lines and spaces for illustrations. These books are kept throughout the unit and are used as both assessment tools and working textbooks designed and developed by each student.</p>
",,,10|4|7,,,
1473,,LE,,"<p>Solar System Readings and Key Terms</p>
","<p>Students read nonfiction material to learn about the Solar System with an emphasis on the arrangements of the planets relative to the Sun. They read sections from a variety of literature while collecting key vocabulary that will be used throughout the unit.</p>
",,,10|4|3,,,
1474,,LE,,"<p>Film Presentation: Introduction to the Solar System</p>
","<p>For a quick and informative overview of the Solar System and its parts, students watch videos on the topic. Together with the notetaking students are learning about in World Languages and Literature:&nbsp;English, students continue learning how to take notes and begin to collect information about individual planets.</p>
",,,10|4,,,
1475,,LE,,"<p>Attributes of Individual Planets</p>
","<p>Through individual, group, and whole-class readings and video experiences, students explore and compare the attributes of individual planets. As a group, they begin to create a documentation board about the planets. Working in small groups, each student becomes an expert on one part of the Solar System.</p>
",,,10|4|3|7,,,
1476,,LE,,"<p>Scaling the Solar System: Relative Sizes</p>
","<p>Using a variety of objects, students create a scale model of the Solar System that represents the relative sizes of the planets in the Solar System. After discussion, students record their observations and reflect on what they have learned in their Cultural History journals.</p>
",,,10|4|3|7,,,
1477,,LE,,"<p>Scaling the Solar System: Relative Distances</p>
","<p>To gain an idea of the vastness of the Universe and the distance between planets, students design and create a planet walk.</p>
",,,10|4|3|8,,,
1478,,LE,,"<p>Phases of the Moon</p>
","<p>Through a series of literature readings and reference research, students explore the phases of the Moon and are introduced to the vocabulary that describes the phases. They record the information in their Cultural History journals and create watercolor paintings depicting all the phases of the Moon.</p>
",,,10|4|3|7,,,
1479,,LE,,"<p>Planet Media Productions</p>
","<p>Students use all of the information gleaned throughout the unit and conduct further research, take notes, and organize their ideas for nonfiction books about the Solar System.</p>
",,,10|4,,,
1480,,LE,,"<p>Space Stations</p>
","<p>In conjunction with the study of geometry in mathematics, students work in teams to design and construct three-dimensional space stations using small blocks&nbsp;or similar building materials. Space station models are required to include everything needed for a human to survive in space.</p>
",,,10|4|3|7,,,
1481,,LE,,"<p>The Effects of Space Garbage</p>
","<p>Students respond to the essential question,&nbsp;<em>Can a system change?</em>&nbsp;as they explore the effect of space garbage on the Solar System. This learning experience is integrated with environmental studies in science as students compare the effects of littering on Earth with the impact of litter in space.</p>
",,,4,,,
1482,,AS,SU,"<p>&ldquo;Solar Jam&rdquo;: A Performing Arts Production</p>
","<p>In the summative project for this unit, students demonstrate their understanding of the concepts studied through the creation of the &ldquo;Solar Jam&rdquo; performance to share with the community. Students are assessed on their contributions towards creating the script, the musical score, and the props; their knowledge of the unit outcomes and Solar System concepts; and their performance.</p>
",,,10|4|7|6,,,
1483,,LE,,"<p>Myths About the Creation and Transformation of Earth</p>
","<p>Each day, students are read aloud a myth about the creation of Earth. Students reflect on these stories in their journals and explore the origins of the myths.</p>
",,,10,,,
1484,,AS,DI,"<p>Myths</p>
","<p>Students participate in an initial class discussion about creation myths to ensure that all students have a clear understanding about the material already covered in the previous grade levels and units for both Science and Cultural History.</p>
",,,10,,,
1485,,AS,FO,"<p>Cultural History Journals</p>
","<p>Throughout the unit, students&nbsp;record information in their Cultural History journals, which are softcover notebooks with lines and spaces for illustrations. The journals serve as a record of their understanding and are used for conferencing and setting goals for student performance.</p>
",,,10,,,
1486,,LE,,"<p>Continents and Oceans</p>
","<p>As a class, students put together a jigsaw puzzle of a world map, examine a globe, and study topographical maps to build an awareness of physical variations on our planet. Students participate in a group activity to visualize the percentage of Earth&rsquo;s water that is potable.</p>
",,,4|3|7,,,
1487,,AS,FO,"<p>Continents and Oceans</p>
","<p>Students participate in discussions and create drawings and written reflections that allow the teacher to assess their understanding of the formation and evolution of the continents and oceans.</p>
",,,10|4|7,,,
1488,,LE,,"<p>The Formation of Earth</p>
","<p><span style=""line-height: 1.42857;"">Students review the Big Bang Theory and formulate ideas and questions about the creation of Earth.</span></p>
",,,10|4,,,
1489,,LE,,"<p>Earth Changes: An Introduction to Plate Tectonics and Continental Drift</p>
","<p>Through films and activities, students learn about the &ldquo;supercontinent&rdquo; Pangaea and discuss the process through which Earth&rsquo;s continents were created. Students learn the skill of gridding and create their own world maps from different geological periods.</p>
",,,4|3|7,,,
1490,,LE,,"<p>Egg Tectonics</p>
","<p>By drawing a world map on an egg and then cracking and manipulating the egg&rsquo;s shell, students understand the concept of plate tectonics.</p>
",,,10|4,,,
1491,,LE,,"<p>When Systems Change</p>
","<p>Students study natural phenomena and their effects on Earth&rsquo;s systems as both Earth-changing events and disasters for local populations. Students brainstorm relief efforts for those affected by these events.</p>
",,,10|4|3,,,
1492,,LE,,"<p>Back to the Beginning: Revising Ideas</p>
","<p>Students compare their answers to questions from the beginning of the unit to their current understanding and make revisions to their earlier answers.</p>
",,,10|4,,,
1494,,AS,SU,"<p>Earth Systems Questionnaire</p>
","<p>Students write and illustrate or dictate responses to six prompts and questions about Earth Systems, demonstrating their understanding of key concepts from the unit.</p>
",,,10|4,,,
1495,,AS,DI,"<p>Weather Walk</p>
","<p>Students participate in a weather walk, paying attention to the natural world around them. Small groups discuss the question, &ldquo;What is weather?&rdquo;&nbsp;A class word wall is created to display content vocabulary for the unit. Students draw pictures to demonstrate their knowledge of weather.&nbsp;</p>
",,,4|8,,,
1496,,LE,,"<p>Weather Readings</p>
","<p>In small, interest-based groups, students read about weather and reflect on the importance of studying weather and define what weather systems are.</p>
",,,10|4,,,
1497,,AS,FO,"<p>Cultural History Journals</p>
","<p>Throughout the unit, students record information in their Cultural History journals, which are softcover notebooks with lines and spaces for illustrations. These books are kept throughout the unit and are used as both assessment tools and working textbooks designed and developed by each student. Students also write a daily journal entry about the day&rsquo;s weather.&nbsp;</p>
",,,10|4|7,,,
1498,,AS,FO,"<p>Researching Weather Systems for a Quiz Game</p>
","<p>Small groups of students use research they collected in their World Languages and Literature: English Learning Experience on weather systems to discuss the weather systems their elemental force connects with. They prepare questions and answers for a quiz game.</p>
",,,10|4,,,
1499,,LE,,"<p>Building a Weather Station</p>
","<p>Students design and build their own weather station, take daily readings, and analyze the changes in their own environment. Small groups research and create weather instruments and then combine the instruments in a weather station. All work is recorded daily in the Cultural History journals.</p>
",,,10|4|3|7,,,
1500,,LE,,"<p><span style=""line-height: 1.42857;"">Weather Forecasting</span></p>
","<p>Students become meteorologists as they draw conclusions about how the daily weather will affect their school and community. Students compare and contrast weather forecasts and use data from their weather station to make predictions for the next day&rsquo;s weather conditions.</p>
",,,10|4|3|6,,,
1501,,LE,,"<p>Reading: Bruce Hiscock&rsquo;s&nbsp;The Big Storm</p>
","<p>Students read and respond to&nbsp;<em>The Big Storm,&nbsp;</em>a nonfiction book about a storm that moves through the United States. By tracking the storm&rsquo;s progress on a map, students begin to understand how a weather system changes as it encounters various landforms. Students complete a quiz about the content and genre of&nbsp;<em>The Big Storm</em>.</p>
",,,10|4|7,,,
1502,,LE,,"<p>Writing Weather Poems</p>
","<p>Students use photographs and poetry as inspiration for recording ideas for their own original poem about the weather. Students also respond artistically to weather poems written by Native Americans.</p>
",,,10|4|7|6,,,
1503,,LE,,"<p>Mythological Weather Writing</p>
","<p>Students create a T-chart that shows what weather systems their elemental force contributes to and how the origin of the weather system might be explained in a weather myth as preparation for their World Languages and Literature: English Learning Experience (WL-EN_G2_U3_07_LE). Students perform an interpretive dance and reading of the work they completed in their writing workshop.</p>
",,,10|6,,,
1504,,AS,SU,"<p>Weather Newsletter</p>
","<p>To complete their study of weather systems, students design and write a newsletter about weather in which they demonstrate an understanding of the elements of weather and how they interact as systems, changes in weather systems, and the effects of weather on people. Students also demonstrate understanding of the systems used for monitoring, tracking, and recording weather patterns; the impact weather systems have on the landscape; and the relationship between the geography of Earth and how weather systems are impacted as they travel across the world.</p>
",,,10|4|7,,,
1505,,AS,DI,"<p>Nature Walk</p>
","<p>Students participate in an initial class discussion about the local ecosystem and develop a set of criteria for differentiating between living and nonliving things. They are introduced to necessary vocabulary, including&nbsp;habitat.&nbsp;Students photograph or sketch living and nonliving things on a nature walk and then share their findings by classifying them and discussing the role of each object or organism in the ecosystem and their interconnectivity as part of a system.&nbsp;</p>
",,,10|4|3|7,,,
1506,,LE,,"<p>Ecosystem Readings and Key Terms</p>
","<p>As a class, students listen to and discuss read-alouds on ecosystems and biomes. Students learn new vocabulary,&nbsp;brainstorm examples of each word, and&nbsp;record and illustrate the words in their Cultural History journals. Individually, they read about ecosystems and then discuss the nature of ecosystems and the importance of studying them. Students illustrate their deeper understanding of the differences between living and nonliving things.</p>
",,,10|4|3,,,
1507,,AS,FO,"<p>Cultural History Journals</p>
","<p>Throughout the unit, students record information in their Cultural History journals, which are softcover notebooks with lines and spaces for illustrations. These books are kept throughout the unit and are used as both assessment tools and working textbooks designed and developed by each student.&nbsp;</p>
",,,10|4|7,,,
1508,,LE,,"<p>Field Trip to a Local Ecosystem</p>
","<p>Students observe living organisms and look for potential challenges to live organisms and the health of the ecosystem they visit. They take photographs, make notes and drawings in their notebooks, and collect samples. Students take measurements in the field and then sort and classify their samples upon return to the classroom, where they create a mural to illustrate their findings on the environmental situations of organisms.</p>
",,,10|4|3|7,,,
1509,,LE,,"<p>Plant and Animal Field Classification</p>
","<p>Students sort and classify plant and animal life, discussing and developing criteria for classifications. They discuss and reflect on how humans fit into their categories.</p>
",,,10|4|3,,,
1510,,LE,,"<p>Food-Chain Game</p>
","<p>In this game, students form an understanding of the interconnectivity of each element (plant or animal) and how the elements affect one another in the food chain. Students discuss food chains and composting and then demonstrate their understanding of food chains through writing and drawing.</p>
",,,10|4|7,,,
1511,,LE,,"<p>Ecosystem Map Study</p>
","<p>Students study a topographical map of the world and locate and research ecosystems in different regions. Small groups of students research the living organisms in an assigned ecosystem and create an informative poster based on their research.</p>
",,,10|4|7,,,
1512,,LE,,"<p>The Natural Consequences of Extinction</p>
","<p>Students reflect on the consequences of eliminating part of the food chain. They imagine, write, and illustrate a scenario whereby a plant or animal is removed from the ecosystem as preparation for Writing About the Impact of Extinction in their World Languages and Literature: English class.</p>
",,,10|4,,,
1513,,AS,SU,"<p>Project Ecosystem: Fashion Show</p>
","<p>Students research a plant or animal from a local ecosystem and design a one-of-a kind outfit with a written description to present in a fashion show runway that reflects their research.</p>
",,,10|4|7|6,,,
1514,,LE,,"<p>Overview of the Year Through Paintings</p>
","<p>Students begin the year exploring how to examine and analyze paintings through scanning and probing. They predict what issues will arise during the time period of study.</p>
",,,1|4|7,,,
1515,,AS,FO,"<p>Artistic Narratives of Jesus: Giotto, Cimabue, and Others</p>
","<p>Students review or establish their understanding of the life of Jesus through the reading of Gospels. They then apply this knowledge to identify scenes in early Renaissance paintings.</p>
",,,7,,,
1516,,LE,,"<p>Confucius and Lao-Tzu During the Ming Dynasty Voyages</p>
","<p>Students read excerpts from the works of Confucius and Lao-tzu. They develop an understanding of ancient Chinese worldviews and how they differ from the Ming dynasty&rsquo;s aspirations to travel in the 1400s.</p>
",,,1,,,
1517,,LE,,"<p>The Iberian Peninsula, Exploration, and&nbsp;<em>The Lus&iacute;ads</em></p>
","<p>In conjunction with their study of Iberian exploration in Cultural History, students read and discuss Cantos 1, 2, and 5 from Lu&iacute;s de Cam&otilde;es&rsquo;s epic&nbsp;<em>The Lus&iacute;ads</em>, which details the Portuguese voyages down the coast of Africa in pursuit of spices from India.</p>
",,,1|4,,,
1518,,AS,FO,"<p>Lu&iacute;s de Cam&otilde;es&rsquo;s&nbsp;<em>The Lus&iacute;ads</em>&nbsp;Reading Comprehension Quizzes</p>
","<p>Students demonstrate comprehension of the epic by completing quick quizzes.</p>
",,,1|4,,,
1519,,LE,,"<p>Myths, Legends, and Poetry of the Aztecs</p>
","<p>Students read pre-conquest Aztec myths, legends, and poetry. They examine metaphor in the beliefs and behaviors of Aztec warriors, as well as the poetic culture that valorized them.</p>
",,,1,,,
1520,,LE,,"<p>Peter Shaffer&rsquo;s&nbsp;<em>The Royal Hunt of the Sun</em></p>
","<p>Students read Peter Shaffer&rsquo;s historical drama that recounts the narrative of how Francisco Pizarro led a group of 167 Spanish conquistadors against the mighty Inca Empire.</p>
",,,1,,,
1521,,AS,FO,"<p><em>The Royal Hunt of the Sun</em>&nbsp;Reading Comprehension Quizzes</p>
","<p>Students demonstrate comprehension of the play by completing quick quizzes.</p>
",,,1,,,
1522,,AS,FO,"<p><em>The Royal Hunt of the Sun</em>&nbsp;Character Webbing</p>
","<p>This character webbing assignment details the relationships between the players and events in the first act of the play. The character webbing is a form of notetaking and is used as a reference for classroom discussions.</p>
",,,1,,,
1523,,AS,SU,"<p>The Spanish Conquest of the Incas Short Paper</p>
","<p>Students write a short paper that chronicles the causes and effects of the Spanish conquest of the Inca as expressed in Peter Shaffer&rsquo;s&nbsp;<em>The Royal Hunt of the Sun&nbsp;</em>and Jared Diamond&rsquo;s&nbsp;<em>Guns, Germs, and Steel</em>.</p>
",,,1,,,
1524,,LE,,"<p>Understanding Dante&rsquo;s&nbsp;<em>Inferno</em></p>
","<p>Students read and annotate a summary of Dante&rsquo;s&nbsp;<em>Inferno</em>, the first book of&nbsp;<em>The Divine Comedy</em>. They not only gain an understanding of the concept and scope of the work, but they also learn about the medieval Catholic worldview.</p>
",,,1,,,
1525,,LE,,"<p>Dante&rsquo;s&nbsp;<em>Purgatorio</em></p>
","<p>Students read&nbsp;<em>Purgatorio</em>, the second book of Dante&rsquo;s&nbsp;<em>The</em>&nbsp;<em>Divine Comedy</em>. As they explore the concept of purgatory, they gain a deeper understanding of the belief system Catholics held as they entered into the Italian Renaissance. Students practice various ways one can read and annotate a text.</p>
",,,1|4|7,,,
1526,,AS,FO,"<p><em>Purgatorio</em>&nbsp;Reading Comprehension Quizzes and Sin Level Mapping</p>
","<p>Students take several reading comprehension quizzes about Dante&rsquo;s&nbsp;<em>Purgatorio</em>. After reading and discussing the sin level of Pride, students create a series of illustrated notes for Envy, Wrath, or Sloth.</p>
",,,1,,,
1527,,AS,SU,"<p><em>Purgatorio</em>&nbsp;Final Product</p>
","<p>After concluding their reading of&nbsp;<em>Purgatorio</em>, students select and complete a written final project.</p>
",,,1|5|7,,,
1528,,LE,,"<p>The Life and Sonnets of Petrarch</p>
","<p>Petrarch serves as a bridge from Dante to the Italian Renaissance. Students discover the life of Petrarch by reading and discussing a series of his love sonnets about Laura and completing a time line of important events in Petrarch&rsquo;s life.</p>
",,,1,,,
1529,,LE,,"<p>Petrarch&rsquo;s &ldquo;The Ascent of Mount Ventoux&rdquo;</p>
","<p>Students read Petrarch&rsquo;s &ldquo;The Ascent of Mount Ventoux&rdquo; as the prime example of humanist writing and arguably as the first piece of nonfiction adventure writing. They are also introduced to the concept of pr&eacute;cis writing.</p>
",,,1,,,
1530,,LE,,"<p>Female Portraiture Presentation</p>
","<p>Students learn about the progression of Renaissance female portraiture, reflecting on cultural and philosophical implications. Students also explore the impact Petrarch had on the depiction of an ideal beauty.</p>
",,,1|7,,,
1531,,LE,,"<p>Reading and Analyzing Machiavelli&rsquo;s&nbsp;<em>The Prince</em></p>
","<p>Students take a comprehension quiz and write a pr&eacute;cis after reading each chapter of Machiavelli&rsquo;s&nbsp;<em>The Prince.</em>&nbsp;They discuss the text as a class and analyze it in detail.</p>
",,,1,,,
1533,,AS,SU,"<p><em>The Prince</em>&nbsp;Oral Exam</p>
","<p>At the end of the Renaissance Simulation Game, students take an oral examination to demonstrate understanding of the central ideas of&nbsp;<em>The Prince</em>.</p>
",,,1,,,
1534,,AS,SU,"<p><em>The Prince</em>&nbsp;Final Essay</p>
","<p>To complete the unit, students compose an essay that explains how the concepts from&nbsp;<em>The Prince</em>&nbsp;played out in the Renaissance Simulation Game.</p>
",,,1,,,
1535,,LE,,"<p><em>The Life of Lazarillo de Tormes</em></p>
","<p>Students read this anonymous picaresque novella of a beggar boy whose exploits reveal corruption in mid-1500s Spain.</p>
",,,1|5,,,
1536,,AS,FO,"<p><em>The Life of Lazarillo de Tormes</em>&nbsp;Reading Comprehension Quizzes</p>
","<p>Students take short comprehension quizzes on their reading.</p>
",,,1,,,
1537,,LE,,"<p>Cervantes&rsquo;s&nbsp;<em>Don Quixote</em></p>
","<p>Students read portions of Cervantes&rsquo;s masterpiece as evidence of madness and uncertainty in a land dealing with religious and social unrest.</p>
",,,1|8,,,
1538,,AS,FO,"<p><em>Don Quixote&nbsp;</em>Reading Comprehension Quizzes</p>
","<p>Students take short comprehension quizzes on their reading.</p>
",,,1,,,
1539,,AS,SU,"<p><em>Don Quixote</em>&nbsp;Final Paper</p>
","<p>Students track an idea from a provided list throughout their readings and then synthesize their understanding in a short paper.</p>
",,,1,,,
1540,,LE,,"<p>Montaigne and the Personal Essay</p>
","<p>Students learn about the life of Montaigne and determine the factors that led him to write essays. Through this study, students read and discuss a selection of his work.</p>
",,,1,,,
1541,,AS,SU,"<p>Personal Essay</p>
","<p>Students complete an Examination of Wisdom, based on questions from Montaigne&rsquo;s writings. They later expand one of their answers into a full personal essay.</p>
",,,1,,,
1542,,LE,,"<p>Revenge Tragedy: A Presentation</p>
","<p>Students learn about the popular Renaissance art form&nbsp;of revenge tragedy, including its roots in the writings of Seneca, the components of a typical revenge tragedy, and examples of revenge tragedy plots. This presentation allows them to understand what a revenge tragedy is and to assess how Shakespeare tweaked the structure with&nbsp;<em>Macbeth&nbsp;</em>and&nbsp;<em>Hamlet</em>.</p>
",,,1|6,,,
1543,,LE,,"<p>Shakespeare&rsquo;s&nbsp;<em>Macbeth</em></p>
","<p>Students read Shakespeare&rsquo;s Scottish play, again examining the political and religious unrest of the times. Students analyze the text in their World Languages and Literature class, while performing it in a readers&rsquo; theater format in their Performing Arts course.</p>
",,,1|6,,,
